CodeINSEE,Code postal,fra,bre
22046,22330,Le Mené,Ar Menez
22050,22100,Dinan,Dinan
22055,22680,Binic-Etables-sur-Mer,Binig-Staol
22084,22270,Jugon-les-Lacs Commune nouvelle,Lanyugon Kumun nevez
22093,22400,Lamballe-Armor,Lambal-Arvor
22107,22570,Bon-Repos-sur-Blavet,Berrepoz-ar-Blavezh 
22158,22530,Guerlédan,Gwerledan
22183,22210,Plémet,Plezeved
22203,22150,Ploeuc-L'Hermitage,Ploheg-Peniti 
22206,22170,Châtelaudren-Plouagat,Kastellaodren-Plagad 
22209,22650,Beaussais-sur-Mer,Bosez-Poudour 
22219,22150,Plouguenast-Langast,Plougonwaz-Lanwal
22251,22590,Pordic,Porzhig 
22264,22450,La Roche-Jaudy,Roc'h-ar-Yeodi
29003,29770,Audierne,Gwaien
29021,29890,Plounéour-Brignogan-Plages,Plouneour-Traezh-Brignogan 
29076,29290,Milizac-Guipronvel,Milizag-Gwiproñvel 
29199,29610,Plouigneau,Plouigno
29227,29246,Poullaouen,Poullaouen
29266,29410,Saint-Thégonnec Loc-Eguiner,Sant-Tegoneg-Logeginer
35004,35560,Val-Couesnon,Traoñ-Kouenon 
35060,35360,La Chapelle-du-Lou-du-Lac,Chapel-al-Loc'h
35069,35410,Châteaugiron,Kastell-Geron 
35163,35133,Luitré-Dompierre,Loezherieg-Dompêr 
35168,35330,Val-d'Anast,Traoñ-Anast
35176,35480,Guipry-Messac,Gwipri-Mezeg
35184,35360,Montauban-de-Bretagne,Menezalban
35191,35460,Les Portes du Coglais,Dorioù ar Gougleiz 
35220,35150,Piré-Chancé,Pereg-Kantieg
35257,35460,Maen Roch,Maen-Roc'h
35282,35140,Rives-du-Couesnon,Glannoù-ar-C'houenon 
35292,35460,Saint-Marc-le-Blanc,Sant-Mezar-Elvinieg
35308,35720,Mesnil-Roc'h,Mesnil-Roc'h 
44003,44150,Ancenis-Saint-Géréon,Ankiniz-Sant-Gerent
44005,44320,Chaumes-en-Retz,Kalaved-Raez 
44021,44580,Villeneuve-en-Retz,Kernevez-Raez
44029,44450,Divatte-sur-Loire,Diwazh-Liger 
44087,44270,Machecoul-Saint-Même,Machikoul-Sant-Masen 
44163,44150,Vair-sur-Loire,Gwer-Liger
44180,44540,Vallons-de-l'Erdre,Saonioù-an-Erzh
44213,44370,Loireauxence,Ligeraosant
56033,56910,Carentoir,Karantoer 
56061,56200,La Gacilly,Gazilieg
56102,56120,Forges de Lanouée,Govelioù-Lannoez
56144,56500,Evellys,Eveliz
56165,56800,Ploërmel,Ploermael 
56173,56930,Pluméliau-Bieuzy,Pluniav-Bizhui 
56197,56460,Val-d'Oust,Traoñ-an-Oud 
56251,56450,Theix-Noyalo,Teiz-Noaloù
22001,22460,Allineuc,Alineg
22002,22400,Andel,Andel
